M,Marunouchi,,,,,
Ogikubo,0,0,0,,,void
Minami-Asagaya,1.5,1.2,0,,,void
Shin-Koenji,1.2,0.96,0,,,void
Higashi-Koenji,0.9,0.72,0,,,void
Shin-Nakano,1,0.8,0,,,void
Nakano-Sakaue,1.1,0.88,0,E,,void
Nishi-Shinjuku,1.1,0.88,0,,,void
Shinjuku,0.8,0.64,0,S&YM&E,Shinjuku-Nishiguchi!E,void
Shinjuku-Sanchome,0.3,0.24,0,S&F,,void
Shinjuku-Gyoemmae,0.7,0.56,0,,,void
Yotsuya-Sanchome,0.9,0.72,0,,,void
Yotsuya,1,0.8,0,N,,void
Akasaka-Mitsuke,1.3,1.04,0,G,Nagatacho!Y&Z&N,void
Kokkai-Gijido-mae,0.9,0.72,0,C,Tameike-Sanno!G&N,void
Kasumigaseki,0.7,0.56,0,H&C,,void
Ginza,1,0.8,0,G&H,,void
Tokyo,1.1,0.88,0,YM,,void
otemachi,0.6,0.48,0,T&C&Z&I,,void
Awajicho,0.9,0.72,0,,Shin-Ochanomizu!C;Ogawamachi!S,void
Ochanomizu,0.8,0.64,0,,,void
Hongo-Sanchome,0.8,0.64,0,E,,void
Korakuen,0.8,0.64,0,N,Kasuga!I&E,void
Myogadani,1.8,1.44,0,,,void
Shin-otsuka,1.2,0.96,0,,,void
Ikebukuro,1.8,1.44,0,Y&F&YM,,void
