C,Chiyoda,,,,,
Yoyogi-Uehara,0,0,0,,,void
Yoyogi-Koen,1,0.75,0,,,void
Meiji-Jingomae,1.2,0.9,0,F,Harajuku!YM,void
Omotesando,0.9,0.675,0,Z&G,,void
Nogizaka,1.4,1.05,0,,,void
Akasaka,1.1,0.825,0,,,void
Kokkai-Gijido-mae,0.8,0.6,0,M,Tameike-Sanno!N&G,void
Kasumigaseki,0.8,0.6,0,M&H,,void
Hibiya,0.8,0.6,0,YM&H&I,Yorakucho!Y,void
Nijobashimae,0.7,0.525,0,,,void
otemachi,0.7,0.525,0,T&M&Z&I,,void
Shin-Ochanomizu,1.3,0.975,0,,Awajicho!M;Ogawamachi!S,void
Yushima,1.2,0.9,0,,,void
Nezu,1.2,0.9,0,,,void
Sendagi,1,0.75,0,,,void
Nishi-Nippori,0.9,0.675,0,YM,,void
Machiya,1.7,1.275,0,,,void
Kita-Senju,2.6,1.95,0,H,,void
Ayase,2.6,1.95,0,,,void
