N,Namboku,,,,,
Meguro,0,0,0,YM&I,,void
Shirokanedai,1.3,0.975,0,I,,void
Shirokane-Takanawa,1,0.75,0,I,,void
Azabu-Joban,1.3,0.975,0,E,,void
Roppongi-Itchome,1.2,0.9,0,,,void
Tameike-Sanno,0.9,0.675,0,G,Kokkai-Gijido-mae!M&C,void
Nagatacho,0.9,0.675,0,Y&Z,Akasaka-Mitsuke!G&M,void
Yotsuya,1.3,0.975,0,M,,void
Ichigaya,1,0.75,0,Y&S,,void
Iidabashi,1.1,0.825,0,T&Y&E,,void
Korakuen,1.4,1.05,0,M,Kasuga!I&E,void
Todaimae,1.3,0.975,0,,,void
Hon-Komagome,0.9,0.675,0,,,void
Komagome,1.4,1.05,0,YM,,void
Nishigahara,1.4,1.05,0,,,void
oji,1,0.75,0,,,void
oji-Kamiya,1.2,0.9,0,,,void
Shimo,1.6,1.2,0,,,void
Akabane-Iwabuchi,1.1,0.825,0,,,void
