F,Fukutoshin,,,,,
Wakoshi,0,0,0,Y,,void
Chikatetsu-Narimasu,2.2,1.65,0,Y,,void
Chikatetsu-Akatsuka,1.4,1.05,0,Y,,void
Heiwadai,1.8,1.35,0,Y,,void
Hikawadai,1.4,1.05,0,Y,,void
Kotake-Mukaihara,1.5,1.125,0,Y,,void
Senkawa,1.1,0.825,0,Y,,void
Kanamecho,1,0.75,0,Y,,void
Ikebukuro,0.9,0.675,0,YM&M,,void
Zoshigaya,1.8,1.35,0,,,void
Nishi-Waseda,1.5,1.125,0,,,void
Higashi-Shinjuku,0.9,0.675,0,E,,void
Shinjuku-Sanchome,1.1,0.825,0,M&S,,void
Kitasando,1.4,1.05,0,,,void
Meiji-Jingomae,1.2,0.9,0,C,Harajuku!YM,void
Shibuya,1,0.75,0,YM,,void
