S,Shinjuku,,,,,
Shinjuku,0,0,0,YM&M&E,Shinjuku-Nishiguchi!E,void
Shinjuku-sanchome,0.8,0.64,0,M&F,,void
Akebonobashi,1.5,1.2,0,,,void
Ichigaya,1.4,1.12,0,Y&N,,void
Kudanshita,1.3,1.04,0,Z&T,,void
Jimbocho,0.6,0.48,0,I&Z,,void
Ogawamachi,0.9,0.72,0,,Shin-Ochanomizu!C;Awajicho!M,void
Iwamotocho,0.8,0.64,0,,,void
Bakuro-Yokoyama,0.8,0.64,0,,Higashi-Nihombashi!A,void
Hamacho,0.6,0.48,0,,,void
Morishita,0.8,0.64,0,E,,void
Kikukawa,0.8,0.64,0,,,void
Sumiyoshi,0.9,0.72,0,Z,,void
Nishi-ojima,1,0.8,0,,,void
ojima,0.7,0.56,0,,,void
Higashi-ojima,1.2,0.96,0,,,void
Funabori,1.7,1.36,0,,,void
Ichinoe,1.7,1.36,0,,,void
Mizue,1.7,1.36,0,,,void
Shinozaki,1.5,1.2,0,,,void
Motoyawata,2.8,2.24,0,,,void
