A,Asakusa,,,,,
Nishi-Magome,0,0,0,,,void
Magome,1.2,1.028571429,0,,,void
Nakanobu,0.9,0.771428571,0,,,void
Togoshi,1.1,0.942857143,0,,,void
Gotanda,1.6,1.371428571,0,YM,,void
Takanawadai,0.7,0.6,0,,,void
Sengakuji,1.4,1.2,0,,,void
Mita,1.1,0.942857143,0,I&YM,,void
Daimon,1.5,1.285714286,0,YM&E,,void
Shimbashi,1,0.857142857,0,YM&G,,void
Higashi-Ginza,0.9,0.771428571,0,H,,void
Takaracho,0.8,0.685714286,0,,,void
Nihombashi,0.8,0.685714286,0,G&T,,void
Ningyocho,0.8,0.685714286,0,H,,void
Higashi-Nihombashi,0.7,0.6,0,,Bakuro-Yokoyama!S,void
Asakusabashi,0.7,0.6,0,,,void
Kuramae,0.7,0.6,0,E,,void
Asakusa,0.9,0.771428571,0,G,,void
Honjo-Azumabashi,0.7,0.6,0,,,void
Oshiage,0.8,0.685714286,0,Z,,void
